OrgID	org_name	rating
6984	Pioneer Cognitive Computing Technologies	0.13
6998	Ultra AI Technologies	1.96
7039	Digital Deep Learning Solutions	4.35
7050	Pioneer Cognitive Computing Innovation Hub	1.98
7054	Quantum Cognitive Computing Institute	0.4
7063	Digital Cognitive Computing Lab	4.58
7192	Global AI Research Center	2.67
7203	NextGen Deep Learning Innovation Hub	1.95
7268	Advanced Data Science Technologies	3.21
7292	Digital AI Innovation Hub	4.32
7324	Vision Deep Learning Research Center	2.29
7391	Pioneer Data Science Solutions	2.50
7524	Global Cognitive Computing Lab	1.88
7539	Quantum Neural Systems Lab	0.85
7563	Prime AI Innovation Hub	0.31
7622	Prime Neural Systems Technologies	2.8
7660	Pioneer AI Lab	2.11
7687	Advanced Cognitive Computing Lab	3.5
7698	Advanced Neural Systems Research Center	3.9
7749	Digital Neural Systems Technologies	3.13
7763	Pioneer Deep Learning Solutions	2.47
7831	Prime AI Lab	3.7
7854	Pioneer Deep Learning Technologies	4.7
7861	Future Cognitive Computing Technologies	2.06
7865	Global Cognitive Computing Technologies	0.29
7994	Prime AI Innovation Hub	2.47
8000	Pioneer Deep Learning Solutions	1.14
8018	Quantum Machine Learning Institute	0.27
8026	Prime Neural Systems Institute	3.69
8066	Pioneer Data Science Institute	0.49
8138	Quantum Cognitive Computing Lab	1.09
8175	Ultra Machine Learning Solutions	1.26
8186	Vision Machine Learning Innovation Hub	0.29
8193	Future Data Science Innovation Hub	0.56
8206	Pioneer Machine Learning Innovation Hub	2.92
8223	Advanced Cognitive Computing Institute	4.8
8271	Digital Cognitive Computing Technologies	4.95
8277	Quantum Machine Learning Technologies	0.29
8278	NextGen Deep Learning Institute	4.48
8320	NextGen AI Research Center	2.82
8346	Global Cognitive Computing Research Center	2.94
8363	NextGen Cognitive Computing Lab	0.08
8390	Ultra Cognitive Computing Technologies	1.16
8506	NextGen Deep Learning Lab	3.99
8508	Future Machine Learning Technologies	0.21
8528	Ultra AI Research Center	0.93
8619	Ultra Deep Learning Technologies	2.13
8654	Prime Deep Learning Research Center	2.26
8696	Global Machine Learning Lab	3.89
8705	Advanced Cognitive Computing Institute	1.85
8817	Future Cognitive Computing Innovation Hub	1.78
8822	Ultra Data Science Technologies	2.68
8841	Global Cognitive Computing Lab	4.44
8920	Pioneer Neural Systems Lab	2.45
8942	Prime Machine Learning Research Center	2.18
8945	Vision Cognitive Computing Research Center	0.43
8953	Vision Deep Learning Technologies	4.96
8964	NextGen Neural Systems Technologies	1.44
9038	Advanced Cognitive Computing Solutions	0.97
9046	NextGen Cognitive Computing Solutions	4.6
9074	Prime Data Science Innovation Hub	4.89
9114	Pioneer Cognitive Computing Lab	1.01
9115	Advanced Cognitive Computing Research Center	3.76
9116	Prime Neural Systems Institute	1.72
9138	Advanced Deep Learning Institute	1.36
9218	Advanced AI Technologies	0.08
9222	NextGen Neural Systems Solutions	3.37
9224	Pioneer Cognitive Computing Research Center	4.98
9265	Pioneer Cognitive Computing Lab	4.62
9307	Digital Data Science Research Center	2.74
9310	Prime Data Science Technologies	1.1
9323	Ultra Machine Learning Solutions	3.14
9439	Future Cognitive Computing Innovation Hub	0.99
9450	Pioneer Cognitive Computing Institute	2.14
9507	Vision Deep Learning Institute	2.25
9664	Ultra Machine Learning Innovation Hub	1.64
9711	Pioneer Data Science Research Center	1.96
9759	NextGen AI Research Center	2.34
9783	Ultra Deep Learning Research Center	3.26
9806	Advanced Cognitive Computing Research Center	1.73
9840	Digital Data Science Technologies	3.02
9901	Vision Cognitive Computing Research Center	0.95
9935	Pioneer Deep Learning Institute	4.22
