ResultID	accuracy	f1_score	hyperparameter_config	PIN	ModelID	version_no	DatasetID
1029	0.966	0.8959	lr=1e-5;batch=16;AdamW	382044	5032	4.0	9020
1030	0.8572	0.5704	lr=2e-4;batch=64;Lion	382044	5032	4.0	9020
1031	0.7243	0.7152	lr=5e-6;batch=8;AdamW	382044	5032	4.0	9020
1032	0.6844	0.6184	lr=5e-5;batch=32;SGD	382044	5032	4.0	9020
1033	0.7015	0.6853	lr=5e-6;batch=8;AdamW	742820	5016	2.0	9036
1034	0.7619	0.6033	lr=3e-5;batch=48;RMSProp	742820	5016	2.0	9036
1035	0.8507	0.7879	lr=4e-5;batch=32;AdamW;wd=0.01	742820	5016	2.0	9036
1036	0.8563	0.6401	lr=1e-5;batch=16;AdamW	479879	5019	1.0	9014
1037	0.9794	0.5769	lr=8e-6;batch=24;Adagrad	464659	5021	3.0	9012
1038	0.7492	0.6767	lr=3e-5;batch=64;AdamW	464659	5021	3.0	9012
1039	0.6593	0.5628	lr=1e-5;batch=128;Adam	631391	5029	1.0	9022
1040	0.9504	0.7137	lr=3e-5;batch=48;RMSProp	631391	5029	1.0	9022
1041	0.9251	0.922	lr=5e-6;batch=8;AdamW	631391	5029	1.0	9022
1042	0.7123	0.6222	lr=2e-5;batch=32;AdamW	631391	5029	1.0	9022
1043	0.9509	0.6136	lr=2e-4;batch=64;Lion	631391	5029	1.0	9022
1044	0.8878	0.8074	lr=4e-5;batch=32;AdamW;wd=0.01	291376	5013	2.0	9040
1045	0.711	0.6817	lr=3e-5;batch=48;RMSProp	291376	5013	2.0	9040
1046	0.8593	0.6846	lr=8e-6;batch=24;Adagrad	485827	5017	4.0	9044
1047	0.6853	0.5604	lr=5e-6;batch=8;AdamW	485827	5017	4.0	9044
1048	0.6816	0.6501	lr=1e-5;batch=128;Adam	485827	5017	4.0	9044
1049	0.6429	0.5581	lr=1e-4;batch=16;SGD	485827	5017	4.0	9044
1050	0.717	0.5652	lr=2e-5;batch=48;AdamW;warmup=100	796438	5021	3.0	9050
1051	0.7263	0.6626	lr=1e-4;batch=16;SGD	796438	5021	3.0	9050
1052	0.6554	0.6458	lr=1e-5;batch=16;AdamW	796438	5021	3.0	9050
1053	0.9389	0.6602	lr=5e-6;batch=8;AdamW	796438	5021	3.0	9050
1054	0.6119	0.5682	lr=1e-5;batch=128;Adam	796438	5021	3.0	9050
1055	0.6387	0.6233	lr=8e-6;batch=24;Adagrad	714651	5027	1.0	9037
1056	0.8972	0.8645	lr=2e-4;batch=64;Lion	714651	5027	1.0	9037
1057	0.6476	0.606	lr=3e-5;batch=64;AdamW	714651	5027	1.0	9037
1058	0.9576	0.8174	lr=5e-6;batch=8;AdamW	714651	5027	1.0	9037
1059	0.9617	0.8685	lr=1e-5;batch=128;Adam	714651	5027	1.0	9037
1060	0.7557	0.5725	lr=3e-5;batch=64;AdamW	197783	5004	3.0	9003
1061	0.8879	0.8777	lr=3e-5;batch=48;RMSProp	197783	5004	3.0	9003
1062	0.7175	0.7017	lr=1e-5;batch=16;AdamW	197783	5004	3.0	9003
1063	0.8297	0.7291	lr=2e-5;batch=48;AdamW;warmup=100	488372	5024	1.0	9010
1064	0.8805	0.7159	lr=5e-5;batch=32;SGD	488372	5024	1.0	9010
1065	0.9535	0.5712	lr=8e-6;batch=24;Adagrad	488372	5024	1.0	9010
1066	0.9432	0.6762	lr=5e-6;batch=8;AdamW	488372	5024	1.0	9010
1067	0.6985	0.5609	lr=3e-5;batch=48;RMSProp	488372	5024	1.0	9010
1068	0.7498	0.7428	lr=3e-5;batch=64;AdamW	282269	5004	1.0	9018
1069	0.8731	0.6859	lr=3e-5;batch=48;RMSProp	282269	5004	1.0	9018
1070	0.6193	0.5628	lr=1e-4;batch=16;SGD	282269	5004	1.0	9018
1071	0.7674	0.6037	lr=2e-4;batch=64;Lion	282269	5004	1.0	9018
1072	0.7806	0.6365	lr=3e-5;batch=48;RMSProp	660384	5028	1.0	9013
1073	0.7734	0.6357	lr=2e-5;batch=48;AdamW;warmup=100	660384	5028	1.0	9013
1074	0.881	0.8367	lr=5e-5;batch=32;SGD	660384	5028	1.0	9013
1075	0.8747	0.7114	lr=3e-5;batch=48;RMSProp	995455	5025	1.0	9047
1076	0.7371	0.6902	lr=3e-5;batch=64;AdamW	714651	5030	3.0	9028
1077	0.705	0.5719	lr=4e-5;batch=32;AdamW;wd=0.01	714651	5030	3.0	9028
1078	0.8174	0.565	lr=8e-6;batch=24;Adagrad	714651	5030	3.0	9028
1079	0.677	0.5866	lr=4e-5;batch=32;AdamW;wd=0.01	472242	5018	5.0	9009
1080	0.7588	0.6146	lr=2e-5;batch=48;AdamW;warmup=100	472242	5018	5.0	9009
1081	0.9626	0.6531	lr=1e-5;batch=128;Adam	869646	5003	1.0	9035
1082	0.8908	0.5675	lr=3e-5;batch=64;AdamW	869646	5003	1.0	9035
1083	0.93	0.6343	lr=5e-5;batch=32;SGD	869646	5003	1.0	9035
1084	0.6915	0.6404	lr=2e-5;batch=48;AdamW;warmup=100	869646	5003	1.0	9035
1085	0.9005	0.836	lr=1e-4;batch=16;SGD	714651	5009	1.0	9018
1086	0.6316	0.5733	lr=3e-5;batch=48;RMSProp	714651	5009	1.0	9018
1087	0.9402	0.556	lr=1e-5;batch=16;AdamW	714651	5009	1.0	9018
1088	0.7057	0.5881	lr=8e-6;batch=24;Adagrad	714651	5009	1.0	9018
1089	0.7401	0.6696	lr=1e-5;batch=128;Adam	250448	5026	4.0	9020
1090	0.6476	0.6254	lr=4e-5;batch=32;AdamW;wd=0.01	250448	5026	4.0	9020
1091	0.7318	0.567	lr=3e-5;batch=48;RMSProp	250448	5026	4.0	9020
1092	0.8444	0.6297	lr=3e-5;batch=64;AdamW	829603	5029	3.0	9041
1093	0.8459	0.5602	lr=1e-5;batch=16;AdamW	925034	5024	4.0	9011
1094	0.9119	0.7045	lr=3e-5;batch=64;AdamW	925034	5024	4.0	9011
1095	0.6059	0.5504	lr=5e-5;batch=32;SGD	925034	5024	4.0	9011
1096	0.9177	0.5632	lr=2e-5;batch=32;AdamW	143426	5026	4.0	9019
1097	0.8363	0.8296	lr=4e-5;batch=32;AdamW;wd=0.01	143426	5026	4.0	9019
1098	0.9619	0.6099	lr=8e-6;batch=24;Adagrad	143426	5026	4.0	9019
1099	0.627	0.5911	lr=1e-5;batch=16;AdamW	143426	5026	4.0	9019
1100	0.697	0.5973	lr=2e-5;batch=48;AdamW;warmup=100	143426	5026	4.0	9019
1101	0.6692	0.6599	lr=1e-5;batch=128;Adam	479879	5030	4.0	9011
1102	0.911	0.7932	lr=2e-5;batch=48;AdamW;warmup=100	479879	5030	4.0	9011
1103	0.9317	0.7176	lr=3e-5;batch=48;RMSProp	479879	5030	4.0	9011
1104	0.8301	0.7129	lr=5e-6;batch=8;AdamW	479879	5030	4.0	9011
1105	0.7988	0.7146	lr=5e-5;batch=32;SGD	479879	5030	4.0	9011
1106	0.774	0.5683	lr=8e-6;batch=24;Adagrad	983837	5031	1.0	9001
1107	0.6164	0.5956	lr=1e-5;batch=128;Adam	983837	5031	1.0	9001
1108	0.6608	0.6279	lr=3e-5;batch=64;AdamW	983837	5031	1.0	9001
1109	0.7958	0.5954	lr=4e-5;batch=32;AdamW;wd=0.01	983837	5031	1.0	9001
1110	0.7817	0.7603	lr=5e-6;batch=8;AdamW	983837	5031	1.0	9001
1111	0.8367	0.6085	lr=3e-5;batch=48;RMSProp	829603	5021	2.0	9022
1112	0.979	0.9774	lr=2e-5;batch=32;AdamW	829603	5021	2.0	9022
1113	0.7195	0.6887	lr=5e-5;batch=32;SGD	829603	5021	2.0	9022
1114	0.7533	0.7027	lr=3e-5;batch=64;AdamW	829603	5021	2.0	9022
1115	0.8108	0.584	lr=2e-5;batch=48;AdamW;warmup=100	114698	5012	1.0	9021
1116	0.6479	0.5834	lr=5e-5;batch=32;SGD	114698	5012	1.0	9021
1117	0.8783	0.5549	lr=4e-5;batch=32;AdamW;wd=0.01	114698	5012	1.0	9021
1118	0.6658	0.6613	lr=2e-5;batch=32;AdamW	114698	5012	1.0	9021
1119	0.8884	0.5963	lr=5e-6;batch=8;AdamW	114698	5012	1.0	9021
1120	0.9139	0.5926	lr=2e-5;batch=32;AdamW	714651	5010	3.0	9025
1121	0.964	0.7763	lr=2e-5;batch=48;AdamW;warmup=100	714651	5010	3.0	9025
1122	0.7309	0.5603	lr=5e-5;batch=32;SGD	714651	5010	3.0	9025
1123	0.7266	0.6315	lr=1e-4;batch=16;SGD	714651	5010	3.0	9025
1124	0.6924	0.6547	lr=2e-5;batch=48;AdamW;warmup=100	810380	5024	1.0	9044
1125	0.6157	0.5705	lr=1e-5;batch=128;Adam	810380	5024	1.0	9044
1126	0.8902	0.6841	lr=3e-5;batch=64;AdamW	810380	5024	1.0	9044
1127	0.8061	0.6909	lr=5e-5;batch=32;SGD	810380	5024	1.0	9044
1128	0.6619	0.6252	lr=2e-5;batch=32;AdamW	602263	5010	4.0	9025
1129	0.7855	0.7851	lr=1e-5;batch=16;AdamW	602263	5010	4.0	9025
1130	0.8538	0.7241	lr=5e-6;batch=8;AdamW	602263	5010	4.0	9025
1131	0.9013	0.5532	lr=3e-5;batch=48;RMSProp	237927	5026	4.0	9020
1132	0.6005	0.589	lr=2e-4;batch=64;Lion	237927	5026	4.0	9020
1133	0.7802	0.7382	lr=5e-6;batch=8;AdamW	237927	5026	4.0	9020
1134	0.8257	0.5899	lr=5e-5;batch=32;SGD	237927	5026	4.0	9020
1135	0.6712	0.5817	lr=4e-5;batch=32;AdamW;wd=0.01	237927	5026	4.0	9020
1136	0.8282	0.5848	lr=2e-4;batch=64;Lion	954163	5024	5.0	9001
1137	0.6311	0.5696	lr=5e-6;batch=8;AdamW	954163	5024	5.0	9001
1138	0.7256	0.556	lr=1e-5;batch=128;Adam	954163	5024	5.0	9001
1139	0.8331	0.6491	lr=3e-5;batch=64;AdamW	954163	5024	5.0	9001
1140	0.7989	0.6834	lr=3e-5;batch=64;AdamW	651115	5026	1.0	9021
1141	0.7796	0.7628	lr=2e-4;batch=64;Lion	651115	5026	1.0	9021
1142	0.7302	0.6234	lr=5e-5;batch=32;SGD	651115	5026	1.0	9021
1143	0.8765	0.8628	lr=4e-5;batch=32;AdamW;wd=0.01	353910	5018	2.0	9020
1144	0.7653	0.747	lr=1e-4;batch=16;SGD	353910	5018	2.0	9020
1145	0.6724	0.5738	lr=2e-4;batch=64;Lion	353910	5018	2.0	9020
1146	0.9467	0.7423	lr=1e-5;batch=16;AdamW	353910	5018	2.0	9020
1147	0.6865	0.623	lr=3e-5;batch=48;RMSProp	353910	5018	2.0	9020
1148	0.6643	0.6532	lr=3e-5;batch=64;AdamW	621636	5011	1.0	9030
1149	0.6252	0.5572	lr=4e-5;batch=32;AdamW;wd=0.01	621636	5011	1.0	9030
1150	0.9025	0.7048	lr=2e-5;batch=48;AdamW;warmup=100	621636	5011	1.0	9030
1151	0.6262	0.6188	lr=2e-4;batch=64;Lion	621636	5011	1.0	9030
1152	0.6904	0.5557	lr=2e-5;batch=32;AdamW	621636	5011	1.0	9030
1153	0.8886	0.6215	lr=3e-5;batch=64;AdamW	159864	5021	3.0	9031
1154	0.7554	0.6379	lr=1e-5;batch=16;AdamW	159864	5021	3.0	9031
1155	0.6077	0.5688	lr=1e-5;batch=128;Adam	159864	5021	3.0	9031
1156	0.6139	0.5857	lr=4e-5;batch=32;AdamW;wd=0.01	159864	5021	3.0	9031
1157	0.8168	0.7425	lr=1e-4;batch=16;SGD	464659	5009	3.0	9009
1158	0.6923	0.5787	lr=4e-5;batch=32;AdamW;wd=0.01	464659	5009	3.0	9009
1159	0.6441	0.593	lr=3e-5;batch=48;RMSProp	464659	5009	3.0	9009
1160	0.7152	0.701	lr=2e-5;batch=32;AdamW	464659	5009	3.0	9009
1161	0.6265	0.6164	lr=3e-5;batch=64;AdamW	464659	5009	3.0	9009
1162	0.8871	0.579	lr=3e-5;batch=64;AdamW	667426	5029	1.0	9013
1163	0.8515	0.5927	lr=8e-6;batch=24;Adagrad	667426	5029	1.0	9013
1164	0.9604	0.7195	lr=8e-6;batch=24;Adagrad	788351	5011	1.0	9030
1165	0.8596	0.5954	lr=2e-5;batch=32;AdamW	788351	5011	1.0	9030
1166	0.7345	0.5717	lr=2e-5;batch=48;AdamW;warmup=100	788351	5011	1.0	9030
1167	0.6347	0.6198	lr=1e-5;batch=16;AdamW	788351	5011	1.0	9030
1168	0.9646	0.7421	lr=1e-5;batch=128;Adam	788351	5011	1.0	9030
1169	0.9464	0.8846	lr=2e-4;batch=64;Lion	756541	5001	2.0	9016
1170	0.6355	0.5616	lr=5e-5;batch=32;SGD	756541	5001	2.0	9016
1171	0.8922	0.7134	lr=2e-5;batch=48;AdamW;warmup=100	326209	5028	1.0	9003
1172	0.8093	0.7632	lr=2e-4;batch=64;Lion	326209	5028	1.0	9003
1173	0.6558	0.5892	lr=2e-5;batch=48;AdamW;warmup=100	796438	5018	3.0	9048
1174	0.913	0.591	lr=8e-6;batch=24;Adagrad	796438	5018	3.0	9048
1175	0.891	0.721	lr=2e-5;batch=32;AdamW	796438	5018	3.0	9048
1176	0.8511	0.8002	lr=5e-5;batch=32;SGD	796438	5018	3.0	9048
1177	0.8634	0.8566	lr=1e-4;batch=16;SGD	796438	5018	3.0	9048
1178	0.97	0.7583	lr=8e-6;batch=24;Adagrad	849046	5026	4.0	9036
1179	0.8364	0.6815	lr=3e-5;batch=64;AdamW	849046	5026	4.0	9036
1180	0.6085	0.5657	lr=1e-4;batch=16;SGD	849046	5026	4.0	9036
1181	0.6933	0.6638	lr=2e-4;batch=64;Lion	849046	5026	4.0	9036
1182	0.717	0.5831	lr=3e-5;batch=48;RMSProp	611761	5026	2.0	9028
1183	0.8168	0.7037	lr=2e-5;batch=48;AdamW;warmup=100	611761	5026	2.0	9028
1184	0.6398	0.5841	lr=5e-6;batch=8;AdamW	611761	5026	2.0	9028
1185	0.7244	0.5725	lr=1e-4;batch=16;SGD	515631	5029	2.0	9046
1186	0.7879	0.6394	lr=2e-5;batch=48;AdamW;warmup=100	515631	5029	2.0	9046
1187	0.8694	0.8155	lr=3e-5;batch=48;RMSProp	515631	5029	2.0	9046
1188	0.8149	0.697	lr=2e-5;batch=32;AdamW	710956	5005	1.0	9024
1189	0.9324	0.7221	lr=3e-5;batch=48;RMSProp	710956	5005	1.0	9024
1190	0.8988	0.5569	lr=3e-5;batch=48;RMSProp	164553	5006	1.0	9041
1191	0.8814	0.6246	lr=1e-5;batch=128;Adam	164553	5006	1.0	9041
1192	0.9796	0.5985	lr=3e-5;batch=48;RMSProp	624101	5033	1.0	9017
1193	0.9153	0.5561	lr=4e-5;batch=32;AdamW;wd=0.01	624101	5033	1.0	9017
1194	0.7661	0.5836	lr=1e-5;batch=16;AdamW	624101	5033	1.0	9017
1195	0.8819	0.6436	lr=4e-5;batch=32;AdamW;wd=0.01	778612	5002	1.0	9023
1196	0.7171	0.6612	lr=3e-5;batch=48;RMSProp	778612	5002	1.0	9023
1197	0.7063	0.6504	lr=8e-6;batch=24;Adagrad	143641	5008	1.0	9019
1198	0.9246	0.8416	lr=1e-5;batch=16;AdamW	411271	5024	1.0	9016
1199	0.8501	0.6535	lr=2e-4;batch=64;Lion	411271	5024	1.0	9016
1200	0.6979	0.5681	lr=2e-5;batch=32;AdamW	411271	5024	1.0	9016
1201	0.664	0.603	lr=5e-6;batch=8;AdamW	411271	5024	1.0	9016
1202	0.9137	0.5712	lr=4e-5;batch=32;AdamW;wd=0.01	411271	5024	1.0	9016
1203	0.8848	0.5788	lr=1e-4;batch=16;SGD	464659	5022	4.0	9001
1204	0.9633	0.8931	lr=4e-5;batch=32;AdamW;wd=0.01	464659	5022	4.0	9001
1205	0.9527	0.9253	lr=1e-5;batch=16;AdamW	470310	5006	1.0	9011
1206	0.7761	0.5693	lr=3e-5;batch=48;RMSProp	470310	5006	1.0	9011
1207	0.7266	0.6174	lr=2e-5;batch=48;AdamW;warmup=100	470310	5006	1.0	9011
1208	0.7824	0.6006	lr=8e-6;batch=24;Adagrad	666807	5022	3.0	9025
1209	0.9074	0.7501	lr=2e-4;batch=64;Lion	666807	5022	3.0	9025
1210	0.7993	0.6989	lr=3e-5;batch=64;AdamW	666807	5022	3.0	9025
1211	0.701	0.6702	lr=4e-5;batch=32;AdamW;wd=0.01	666807	5022	3.0	9025
1212	0.6852	0.6469	lr=5e-6;batch=8;AdamW	666807	5022	3.0	9025
1213	0.8278	0.7846	lr=2e-4;batch=64;Lion	982921	5017	5.0	9007
1214	0.6432	0.6267	lr=1e-5;batch=128;Adam	982921	5017	5.0	9007
1215	0.8725	0.8697	lr=1e-4;batch=16;SGD	742139	5002	1.0	9027
1216	0.7762	0.6148	lr=3e-5;batch=48;RMSProp	742139	5002	1.0	9027
1217	0.7141	0.7109	lr=3e-5;batch=64;AdamW	631391	5029	2.0	9050
1218	0.6059	0.5538	lr=4e-5;batch=32;AdamW;wd=0.01	631391	5029	2.0	9050
1219	0.8413	0.7094	lr=2e-4;batch=64;Lion	631391	5029	2.0	9050
1220	0.8668	0.6777	lr=5e-6;batch=8;AdamW	631391	5029	2.0	9050
1221	0.7684	0.7057	lr=1e-5;batch=128;Adam	632309	5030	1.0	9034
1222	0.7308	0.7127	lr=8e-6;batch=24;Adagrad	632309	5030	1.0	9034
1223	0.7402	0.5968	lr=2e-4;batch=64;Lion	632309	5030	1.0	9034
1224	0.845	0.7275	lr=1e-5;batch=16;AdamW	864703	5003	1.0	9008
1225	0.725	0.7092	lr=8e-6;batch=24;Adagrad	864703	5003	1.0	9008
1226	0.7703	0.7589	lr=8e-6;batch=24;Adagrad	785175	5030	1.0	9045
1227	0.6095	0.5629	lr=2e-5;batch=32;AdamW	785175	5030	1.0	9045
1228	0.8223	0.6432	lr=5e-6;batch=8;AdamW	785175	5030	1.0	9045
1229	0.9378	0.744	lr=2e-5;batch=48;AdamW;warmup=100	785175	5030	1.0	9045
1230	0.9641	0.8195	lr=3e-5;batch=64;AdamW	829603	5010	4.0	9027
1231	0.7582	0.6018	lr=4e-5;batch=32;AdamW;wd=0.01	829603	5010	4.0	9027
1232	0.7856	0.6267	lr=2e-5;batch=32;AdamW	829603	5010	4.0	9027
1233	0.7309	0.7217	lr=1e-5;batch=16;AdamW	829603	5010	4.0	9027
1234	0.9423	0.6913	lr=3e-5;batch=64;AdamW	756541	5018	4.0	9004
1235	0.9353	0.9205	lr=2e-4;batch=64;Lion	756541	5018	4.0	9004
1236	0.9322	0.76	lr=1e-5;batch=128;Adam	102983	5033	1.0	9042
1237	0.8764	0.804	lr=2e-4;batch=64;Lion	653158	5029	3.0	9015
1238	0.9296	0.9103	lr=8e-6;batch=24;Adagrad	653158	5029	3.0	9015
1239	0.8319	0.8267	lr=2e-5;batch=48;AdamW;warmup=100	653158	5029	3.0	9015
1240	0.9046	0.8003	lr=1e-5;batch=128;Adam	653158	5029	3.0	9015
1241	0.9474	0.9162	lr=3e-5;batch=48;RMSProp	653158	5029	3.0	9015
1242	0.8162	0.8105	lr=8e-6;batch=24;Adagrad	667426	5021	1.0	9027
1243	0.6849	0.6159	lr=2e-4;batch=64;Lion	667426	5021	1.0	9027
1244	0.6902	0.6752	lr=4e-5;batch=32;AdamW;wd=0.01	521088	5022	3.0	9010
1245	0.7062	0.6404	lr=1e-4;batch=16;SGD	166729	5002	4.0	9020
1246	0.8202	0.6286	lr=4e-5;batch=32;AdamW;wd=0.01	166729	5002	4.0	9020
1247	0.7096	0.6119	lr=5e-5;batch=32;SGD	143270	5029	4.0	9031
1248	0.6853	0.6814	lr=2e-5;batch=32;AdamW	143270	5029	4.0	9031
1249	0.8252	0.8115	lr=2e-5;batch=32;AdamW	623671	5004	2.0	9012
1250	0.9772	0.8503	lr=5e-5;batch=32;SGD	954163	5026	4.0	9044
1251	0.9371	0.8607	lr=1e-4;batch=16;SGD	954163	5026	4.0	9044
1252	0.9682	0.9552	lr=1e-5;batch=128;Adam	954163	5026	4.0	9044
1253	0.6236	0.6188	lr=3e-5;batch=64;AdamW	954163	5026	4.0	9044
1254	0.9546	0.5799	lr=1e-4;batch=16;SGD	602263	5032	2.0	9030
1255	0.9073	0.6314	lr=4e-5;batch=32;AdamW;wd=0.01	602263	5032	2.0	9030
1256	0.716	0.7028	lr=2e-4;batch=64;Lion	602263	5032	2.0	9030
1257	0.7286	0.7233	lr=1e-5;batch=128;Adam	602263	5032	2.0	9030
1258	0.8677	0.8601	lr=3e-5;batch=48;RMSProp	602263	5032	2.0	9030
1259	0.772	0.6275	lr=5e-6;batch=8;AdamW	824938	5005	1.0	9032
1260	0.7296	0.7139	lr=2e-4;batch=64;Lion	824938	5005	1.0	9032
1261	0.8601	0.8141	lr=3e-5;batch=48;RMSProp	824938	5005	1.0	9032
1262	0.6558	0.5808	lr=5e-5;batch=32;SGD	824938	5005	1.0	9032
1263	0.7552	0.7183	lr=2e-5;batch=48;AdamW;warmup=100	479879	5016	3.0	9044
1264	0.6016	0.5806	lr=1e-5;batch=16;AdamW	479879	5016	3.0	9044
1265	0.6955	0.6954	lr=1e-4;batch=16;SGD	479879	5016	3.0	9044
1266	0.8501	0.8152	lr=4e-5;batch=32;AdamW;wd=0.01	479879	5016	3.0	9044
1267	0.7031	0.566	lr=8e-6;batch=24;Adagrad	479879	5016	3.0	9044
1268	0.901	0.6908	lr=2e-4;batch=64;Lion	714651	5008	1.0	9013
1269	0.9325	0.6641	lr=2e-5;batch=32;AdamW	982921	5010	3.0	9024
1270	0.9064	0.8247	lr=3e-5;batch=64;AdamW	982921	5010	3.0	9024
1271	0.8342	0.7689	lr=5e-6;batch=8;AdamW	238175	5017	2.0	9016
1272	0.8795	0.7005	lr=4e-5;batch=32;AdamW;wd=0.01	238175	5017	2.0	9016
1273	0.8143	0.6718	lr=8e-6;batch=24;Adagrad	238175	5017	2.0	9016
1274	0.6603	0.6448	lr=3e-5;batch=64;AdamW	238175	5017	2.0	9016
1275	0.7169	0.6646	lr=1e-4;batch=16;SGD	238175	5017	2.0	9016
1276	0.6568	0.5756	lr=3e-5;batch=48;RMSProp	421663	5032	2.0	9039
1277	0.8755	0.7396	lr=1e-4;batch=16;SGD	421663	5032	2.0	9039
1278	0.883	0.7792	lr=4e-5;batch=32;AdamW;wd=0.01	421663	5032	2.0	9039
1279	0.9742	0.8127	lr=1e-5;batch=16;AdamW	263445	5032	3.0	9027
1280	0.8707	0.623	lr=1e-4;batch=16;SGD	263445	5032	3.0	9027
1281	0.922	0.5529	lr=5e-5;batch=32;SGD	263445	5032	3.0	9027
1282	0.6707	0.6405	lr=3e-5;batch=64;AdamW	263445	5032	3.0	9027
1283	0.6155	0.6092	lr=2e-5;batch=32;AdamW	263445	5032	3.0	9027
1284	0.7576	0.7221	lr=1e-5;batch=16;AdamW	613419	5031	2.0	9009
1285	0.8373	0.8165	lr=3e-5;batch=64;AdamW	613419	5031	2.0	9009
1286	0.645	0.6347	lr=4e-5;batch=32;AdamW;wd=0.01	613419	5031	2.0	9009
1287	0.9264	0.6797	lr=5e-6;batch=8;AdamW	613419	5031	2.0	9009
1288	0.7529	0.5807	lr=1e-4;batch=16;SGD	613419	5031	2.0	9009
1289	0.6973	0.6128	lr=1e-4;batch=16;SGD	370367	5031	2.0	9045
1290	0.935	0.9151	lr=3e-5;batch=64;AdamW	370367	5031	2.0	9045
1291	0.7699	0.7685	lr=1e-5;batch=128;Adam	370367	5031	2.0	9045
1292	0.9792	0.5868	lr=2e-5;batch=32;AdamW	370367	5031	2.0	9045
1293	0.7224	0.5852	lr=3e-5;batch=64;AdamW	526827	5027	4.0	9044
1294	0.7097	0.6212	lr=2e-5;batch=48;AdamW;warmup=100	526827	5027	4.0	9044
1295	0.7277	0.6148	lr=8e-6;batch=24;Adagrad	150511	5031	2.0	9047
1296	0.7335	0.6522	lr=1e-4;batch=16;SGD	150511	5031	2.0	9047
1297	0.631	0.6187	lr=2e-5;batch=48;AdamW;warmup=100	150511	5031	2.0	9047
1298	0.8875	0.6675	lr=3e-5;batch=64;AdamW	150511	5031	2.0	9047
1299	0.888	0.6461	lr=1e-5;batch=16;AdamW	150511	5031	2.0	9047
1300	0.9292	0.896	lr=4e-5;batch=32;AdamW;wd=0.01	234835	5018	5.0	9019
1301	0.6115	0.6032	lr=2e-4;batch=64;Lion	234835	5018	5.0	9019
1302	0.9639	0.862	lr=1e-4;batch=16;SGD	234835	5018	5.0	9019
1303	0.6045	0.5727	lr=5e-5;batch=32;SGD	234835	5018	5.0	9019
1304	0.7673	0.6823	lr=1e-4;batch=16;SGD	611761	5029	4.0	9029
1305	0.767	0.6596	lr=1e-5;batch=16;AdamW	611761	5029	4.0	9029
1306	0.7223	0.6199	lr=5e-6;batch=8;AdamW	611761	5029	4.0	9029
1307	0.9185	0.7307	lr=2e-4;batch=64;Lion	611761	5029	4.0	9029
1308	0.8247	0.7556	lr=2e-4;batch=64;Lion	869646	5022	1.0	9045
1309	0.9636	0.5821	lr=1e-5;batch=16;AdamW	849046	5010	1.0	9018
1310	0.8546	0.8478	lr=2e-4;batch=64;Lion	849046	5010	1.0	9018
