followerPIN	followeePIN	following_date
526827	345983	2022-01-18
238175	291104	2022-01-21
291104	421663	2022-01-23
291104	437659	2022-01-31
437659	379249	2022-02-03
296952	151167	2022-02-03
283986	331351	2022-02-07
995455	263445	2022-02-12
804170	830293	2022-02-13
519433	237927	2022-02-18
742016	291104	2022-02-25
582112	382044	2022-02-26
353910	511228	2022-02-28
779760	892048	2022-03-07
830293	526827	2022-03-11
892048	521587	2022-03-25
421663	411271	2022-03-27
261315	296952	2022-03-29
785175	437659	2022-03-31
291104	263445	2022-04-01
995455	801028	2022-04-13
995455	804170	2022-04-14
521587	382044	2022-04-14
379249	411271	2022-04-28
261315	102983	2022-04-29
521587	995455	2022-05-01
804170	268648	2022-05-06
892048	421663	2022-05-12
511228	667426	2022-05-13
488372	859773	2022-05-15
761550	521587	2022-05-15
178427	470310	2022-05-20
238175	268648	2022-05-24
519433	630465	2022-05-31
421663	526827	2022-06-02
804170	761550	2022-06-02
761550	353910	2022-06-05
261315	331351	2022-06-06
779760	379249	2022-06-10
411085	785175	2022-06-12
296952	511228	2022-06-16
830293	345983	2022-06-20
859773	382044	2022-06-21
892048	470215	2022-06-24
238175	262895	2022-07-04
353910	421663	2022-07-08
470310	353910	2022-07-13
433984	296321	2022-07-13
995455	151167	2022-07-18
801028	237927	2022-07-19
742016	511228	2022-07-23
382044	582112	2022-07-26
296952	433984	2022-07-27
437659	892048	2022-08-01
268648	630465	2022-08-06
519433	433984	2022-08-23
143426	353910	2022-08-23
859773	151167	2022-08-28
488372	345983	2022-09-16
488372	519433	2022-09-17
519433	268648	2022-09-17
397508	331351	2022-09-19
470310	804170	2022-09-29
331351	296952	2022-10-13
283986	262895	2022-10-13
667426	345983	2022-10-14
801028	248331	2022-10-19
331351	630465	2022-10-24
511228	526827	2022-10-26
296952	263445	2022-11-08
830293	151167	2022-11-08
892048	382044	2022-11-09
488372	268648	2022-11-09
151167	804170	2022-11-15
353910	519433	2022-11-16
331351	511228	2022-11-28
291104	519433	2022-12-02
470215	779760	2022-12-03
296321	995455	2022-12-06
859773	433984	2022-12-08
521587	801028	2022-12-11
630465	331351	2022-12-12
804170	470215	2022-12-15
526827	296321	2022-12-17
333589	411085	2022-12-23
801028	102983	2022-12-30
296952	268648	2022-12-30
892048	379249	2023-01-01
345983	237927	2023-01-10
788351	859773	2023-01-13
263445	830293	2023-01-15
151167	582112	2023-01-17
102983	397508	2023-01-19
382044	488372	2023-01-20
742016	296321	2023-01-21
143426	804170	2023-01-24
761550	630465	2023-01-27
785175	511228	2023-01-29
521587	102983	2023-01-31
470310	379249	2023-02-04
397508	102983	2023-02-06
785175	582112	2023-02-07
263445	859773	2023-02-11
282269	296952	2023-02-14
331351	526827	2023-02-18
892048	261315	2023-02-20
519433	995455	2023-02-23
411085	382044	2023-02-28
283986	526827	2023-03-01
178427	785175	2023-03-09
261315	779760	2023-03-13
238175	296321	2023-03-15
761550	283986	2023-03-19
238175	283986	2023-04-05
238175	488372	2023-04-06
488372	282269	2023-04-06
470310	995455	2023-04-11
667426	282269	2023-04-11
268648	470215	2023-04-14
521587	630465	2023-04-18
470215	296321	2023-04-18
353910	397508	2023-04-18
262895	353910	2023-04-20
411271	331351	2023-04-22
331351	282269	2023-05-07
262895	263445	2023-05-09
379249	667426	2023-05-10
888249	526827	2023-05-15
421663	779760	2023-05-18
291104	526827	2023-05-24
788351	151167	2023-05-26
785175	630465	2023-05-29
470310	421663	2023-06-01
779760	437659	2023-06-09
263445	582112	2023-06-12
421663	582112	2023-06-19
526827	333589	2023-06-24
291104	237927	2023-07-03
437659	102983	2023-07-09
268648	830293	2023-07-24
382044	411271	2023-07-24
995455	761550	2023-07-26
296321	296952	2023-08-01
582112	143426	2023-08-04
296952	237927	2023-08-12
511228	519433	2023-08-12
331351	519433	2023-08-13
283986	742016	2023-08-14
151167	470310	2023-08-19
178427	333589	2023-08-24
411271	237927	2023-09-03
262895	779760	2023-09-10
262895	237927	2023-09-12
296321	526827	2023-09-13
521587	282269	2023-09-15
238175	779760	2023-09-19
291104	331351	2023-09-19
333589	143426	2023-09-22
433984	830293	2023-09-29
353910	521587	2023-10-03
291104	892048	2023-10-04
379249	296952	2023-10-05
470215	291104	2023-10-08
804170	788351	2023-10-13
779760	470215	2023-10-19
488372	178427	2023-10-19
379249	283986	2023-10-25
888249	296321	2023-10-25
411271	667426	2023-10-30
526827	470215	2023-11-02
296952	238175	2023-11-04
488372	102983	2023-11-06
519433	785175	2023-11-16
238175	102983	2023-11-17
433984	248331	2023-11-21
379249	238175	2023-11-22
521587	892048	2023-11-26
296321	151167	2023-11-29
470310	411085	2023-12-02
261315	437659	2023-12-03
333589	521587	2023-12-12
437659	582112	2023-12-13
262895	437659	2023-12-21
237927	779760	2023-12-30
801028	761550	2024-01-12
801028	143426	2024-01-17
345983	421663	2024-01-23
521587	291104	2024-01-29
411085	143426	2024-01-29
630465	788351	2024-02-01
785175	331351	2024-02-19
291104	470215	2024-02-26
511228	102983	2024-02-26
582112	667426	2024-02-29
488372	331351	2024-03-09
353910	801028	2024-03-22
470310	892048	2024-03-23
353910	437659	2024-03-25
804170	785175	2024-04-08
667426	353910	2024-04-12
102983	151167	2024-04-14
582112	437659	2024-04-15
178427	382044	2024-04-15
437659	779760	2024-04-16
630465	526827	2024-04-29
331351	421663	2024-05-08
804170	433984	2024-05-16
511228	282269	2024-05-16
785175	382044	2024-05-22
282269	667426	2024-05-23
830293	397508	2024-05-25
345983	283986	2024-05-30
995455	519433	2024-06-11
268648	282269	2024-06-26
437659	433984	2024-06-27
779760	296952	2024-07-02
411271	102983	2024-07-09
296321	742016	2024-07-12
519433	526827	2024-07-20
804170	102983	2024-07-28
892048	331351	2024-07-29
801028	779760	2024-07-31
488372	263445	2024-08-05
433984	667426	2024-08-08
892048	470310	2024-08-16
788351	470215	2024-08-18
804170	779760	2024-08-19
262895	519433	2024-08-28
804170	630465	2024-09-20
178427	102983	2024-09-22
788351	519433	2024-09-24
345983	526827	2024-10-02
437659	282269	2024-10-02
785175	519433	2024-10-15
630465	282269	2024-10-31
859773	379249	2024-11-02
296321	102983	2024-11-04
296321	262895	2024-11-06
248331	261315	2024-11-06
296321	411085	2024-11-07
521587	511228	2024-11-24
470310	331351	2024-11-30
331351	892048	2024-12-01
382044	411085	2024-12-09
238175	379249	2024-12-13
102983	283986	2024-12-14
437659	397508	2024-12-24
268648	178427	2024-12-29
521587	437659	2024-12-30
519433	345983	2025-01-13
470310	397508	2025-01-15
411271	143426	2025-01-16
421663	382044	2025-01-23
296952	421663	2025-01-26
382044	526827	2025-01-28
248331	151167	2025-02-02
511228	382044	2025-02-26
526827	804170	2025-03-10
261315	151167	2025-03-18
248331	331351	2025-03-18
859773	283986	2025-03-18
830293	102983	2025-03-19
433984	353910	2025-03-27
248331	511228	2025-03-29
421663	296321	2025-03-30
151167	353910	2025-04-01
888249	291104	2025-04-08
779760	333589	2025-04-10
237927	178427	2025-04-12
282269	470215	2025-04-18
470215	830293	2025-04-21
788351	237927	2025-04-23
331351	761550	2025-04-24
830293	470215	2025-04-27
151167	411271	2025-04-28
282269	411271	2025-04-30
582112	237927	2025-05-11
582112	788351	2025-05-11
526827	421663	2025-05-12
248331	102983	2025-05-13
892048	178427	2025-05-14
582112	830293	2025-05-14
411085	268648	2025-05-15
521587	296952	2025-05-16
283986	411085	2025-05-17
667426	421663	2025-05-17
296321	470215	2025-05-21
521587	283986	2025-06-08
437659	421663	2025-06-09
261315	761550	2025-06-19
421663	511228	2025-06-20
779760	788351	2025-07-08
331351	379249	2025-07-09
331351	470310	2025-07-15
238175	742016	2025-07-19
261315	892048	2025-07-22
630465	263445	2025-07-23
102983	345983	2025-07-25
282269	411085	2025-07-27
859773	526827	2025-07-31
995455	333589	2025-07-31
995455	470310	2025-08-05
263445	801028	2025-08-12
268648	237927	2025-08-13
511228	263445	2025-09-16
261315	630465	2025-09-17
521587	888249	2025-09-21
238175	411271	2025-09-24
519433	151167	2025-09-25
397508	261315	2025-09-26
379249	291104	2025-09-29
892048	859773	2025-10-01
888249	248331	2025-10-03
470215	488372	2025-10-05
892048	667426	2025-10-08
331351	283986	2025-10-12
519433	761550	2025-10-12
379249	470310	2025-10-12
268648	397508	2025-10-13
345983	178427	2025-10-19
801028	268648	2025-10-28
291104	667426	2025-10-28
263445	519433	2025-10-29
238175	470310	2025-11-02
296952	345983	2025-11-04
519433	830293	2025-11-09
143426	411271	2025-11-15
411085	261315	2025-12-04
488372	761550	2025-12-05
382044	296952	2025-12-14
761550	178427	2025-12-15
830293	521587	2025-12-18
263445	788351	2025-12-20
488372	143426	2025-12-22
143426	761550	2025-12-23
